2018-04-12 11:15:43,605 INFO [query.py:45]  测试第 1 页
2018-04-12 11:15:43,606 INFO [test_manufacturer.py:47]  id_database_list: [5, 6, 7, 20, 21, 22, 23, 24, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38]
2018-04-12 11:15:43,606 INFO [test_manufacturer.py:47]  id_database_list: [5, 6, 7, 20, 21, 22, 23, 24, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38]
2018-04-12 11:15:43,606 INFO [test_manufacturer.py:47]  id_database_list: [5, 6, 7, 20, 21, 22, 23, 24, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38]
2018-04-12 11:15:43,607 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 20,20
2018-04-12 11:15:43,607 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 20,20
2018-04-12 11:15:43,607 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 20,20
2018-04-12 11:15:43,612 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:43,612 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:43,612 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:43,622 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:15:43,622 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:15:43,622 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:15:43,624 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>2</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:15:43,624 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>2</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:15:43,624 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>2</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:15:43,658 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:15:43,658 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:15:43,658 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:15:43,659 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:15:43,659 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:15:43,659 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:15:43,659 INFO [query.py:45]  测试第 2 页
2018-04-12 11:15:43,659 INFO [query.py:45]  测试第 2 页
2018-04-12 11:15:43,659 INFO [query.py:45]  测试第 2 页
2018-04-12 11:15:43,660 INFO [test_manufacturer.py:47]  id_database_list: [39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 173, 175, 176, 177, 178, 179, 180, 181, 182]
2018-04-12 11:15:43,660 INFO [test_manufacturer.py:47]  id_database_list: [39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 173, 175, 176, 177, 178, 179, 180, 181, 182]
2018-04-12 11:15:43,660 INFO [test_manufacturer.py:47]  id_database_list: [39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 173, 175, 176, 177, 178, 179, 180, 181, 182]
2018-04-12 11:15:43,660 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 40,20
2018-04-12 11:15:43,660 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 40,20
2018-04-12 11:15:43,660 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 40,20
2018-04-12 11:15:43,663 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:43,663 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:43,663 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:43,668 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:15:43,668 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:15:43,668 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
